item_id,title,category,brand
B001,Ben Nye Banana Luxury Face Powder 1.5oz,Beauty,Ben Nye
B002,Beautyblender Solid Blendercleanser 1 oz,Beauty,Beautyblender
B003,Professional 15 Color Concealer Makeup Palette,Beauty,ProBeauty
B004,L'Oreal Paris True Match Super-Blendable Makeup,Beauty,L'Oreal
B005,Real Techniques Miracle Complexion Sponge,Beauty,Real Techniques
B006,NYX Soft Matte Lip Cream - Zurich,Beauty,NYX
E101,Logitech M325 Wireless Mouse Dark Silver,Electronics,Logitech
E102,Logitech M317 Wireless Mouse Felicity Fox,Electronics,Logitech
E103,Razer DeathAdder Essential Gaming Mouse,Electronics,Razer
E104,Apple Magic Mouse 2 Wireless,Electronics,Apple
E105,Sony WH-1000XM4 Wireless Noise Cancelling Headphones,Electronics,Sony
E106,Audio-Technica ATH-M50x Professional Studio Monitor Headphones,Electronics,Audio-Technica
